SEARCH,GRAMMAR AND PROSODY,ACCENTUATION,CLASSICAL PRONUNCIATION,ECCLESIASTICAL PRONUNCIATION
circo," cīrco, āre, 1 ",cir-co,kiːrko,tʃirko
circos," cīrcŏs, i, m. ",cir-cos,kiːrkɔs,tʃirkɔs
circuitus," cīrcŭĭtus, a, um ",cir-cú-i-tus,kiːrkwɪtʊs,tʃirkuitus
circuitus," cīrcŭĭtus, us, m. ",cir-cú-i-tus,kiːrkwɪtʊs,tʃirkuitus
circulus," cīrcŭlus, cīrclus, i, m. ",cír-cu-lus,kiːrkʊlʊs,tʃirkulus
circum," cīrcŭm, adv. ",cir-cum,kiːrkʊm,tʃirkum
circumago," cīrcŭmăgo, is, ere, egi, actum ",cir-cú-ma-go,kiːrkʊmago,tʃirkumago
circumdo," cīrcūmdo, as, are, dedi, datum ",cir-cúm-do,kiːrkʊːmdo,tʃirkumdo
circumduco," cīrcūmdūco, dūcis, circumdūcĕre, duxi, circumductum",cir-cum-dú-co,kiːrkʊːmdʊːko,tʃirkumduko
circumeo," cīrcŭmĕo, is, ire, ii, itum ",cir-cú-me-o,kiːrkʊmɛo,tʃirkumɛo
circumfero," cīrcūmfĕro, fers, ferre, tuli, latum ",cir-cúm-fe-ro,kiːrkʊːmfɛro,tʃirkumfɛro
circumfundo," cīrcūmfūndo, is, ere, fudi, fusum ",cir-cum-fún-do,kiːrkʊːmfʊːndo,tʃirkumfundo
circumscribo," cīrcūmscrībo, is, ere, scripsi, scriptum ",cir-cum-scrí-bo,kiːrkʊːmskriːbo,tʃirkumskribo
circumsedeo," cīrcūmsĕdĕo, es, ere, sedi, sessum ",cir-cum-sé-de-o,kiːrkʊːmsɛdɛo,tʃirkumsɛdɛo
circumsisto," cīrcūmsīsto, is, ere, steti ",cir-cum-sís-to,kiːrkʊːmsiːsto,tʃirkumsisto
circumspicio," cīrcūmspĭcĭo, is, ere, spexi, spectum ",cir-cum-spí-ci-o,kiːrkʊːmspɪkɪo,tʃirkumspitʃo
circumsto," cīrcūmsto, as, are, steti, - ",cir-cúms-to,kiːrkʊːmsto,tʃirkumsto
circumvenio," cīrcūmvĕnĭo, is, ire, ueni, uentum ",cir-cum-vé-ni-o,kiːrkʊːmwɛnɪo,tʃirkumvɛnjo
circus," cīrcus, i, m. ",cir-cus,kiːrkʊs,tʃirkus
citatus," cĭtātus, a, um ",ci-tá-tus,kɪtaːtʊs,tʃitatus
citer," cĭtĕr, tra, trum ",ci-ter,kɪtɛr,tʃitɛr
citerior," cĭtĕrĭŏr, oris ",ci-té-ri-or,kɪtɛrɪɔr,tʃitɛrjɔr
cithara," cĭthăra, ae, f. ",cí-tha-ra,kɪtʰara,tʃitara
cito," cĭtŏ, adv. ",ci-to,kɪtɔ,tʃitɔ
citra," cītrā, adv. ",ci-tra,kiːtraː,tʃitra
citrum," cī̆trŭm, i, n. ",ci-trum,kiː̆trʊm,tʃĭtrum
citus," cĭtus, a, um ",ci-tus,kɪtʊs,tʃitus
civile," cīvīle, is, n. ",ci-ví-le,kiːwiːlɛ,tʃivilɛ
civilis," cīvīlĭs, e ",ci-ví-lis,kiːwiːlɪs,tʃivilis
civis," cīvĭs, is, m. ",ci-vis,kiːwɪs,tʃivis
civitas," cīvĭtās, atis, f. ",cí-vi-tas,kiːwɪtaːs,tʃivitas
civito," cīvĭto, āre ",cí-vi-to,kiːwɪto,tʃivito
clades," clādēs, is, f. ",cla-des,klaːdeːs,klades
cladis," clādĭs, is, f. ",cla-dis,klaːdɪs,kladis
clam," clăm, adv. ",clam,klam,klam
clamito," clāmĭto, as, are ",clá-mi-to,klaːmɪto,klamito
clamo," clāmo, as, are ",cla-mo,klaːmo,klamo
clamor," clāmŏr, oris, m. ",cla-mor,klaːmɔr,klamɔr
clare," clārē, adv. ",cla-re,klaːreː,klare
clareo," clārĕo, es, ēre, intr. ",clá-re-o,klaːrɛo,klarɛo
claritas," clārĭtās, atis, f. ",clá-ri-tas,klaːrɪtaːs,klaritas
claritudo," clārĭtūdō, inis, f. ",cla-ri-tú-do,klaːrɪtʊːdoː,klaritudo
clarus," clārus, a, um ",cla-rus,klaːrʊs,klarus
classicus," clāssĭcus, a, um ",clás-si-cus,klaːssɪkʊs,klassikus
classis," clāssĭs, is, f. ",clas-sis,klaːssɪs,klassis
Claudius," Clāudĭus, a, um ",Cláu-di-us,klaʊ̯dɪʊs,klau̯djus
claudo," clāudo,  is, ere, clausi, clausum ",clau-do,klaʊ̯do,klau̯do
claudus," clāudus, a, um ",clau-dus,klaʊ̯dʊs,klau̯dus
claustrum," clāustrŭm, clōstrum, orum, n. ",claus-trum,klaʊ̯strʊm,klau̯strum
clavus," clāvus, i, m. ",cla-vus,klaːwʊs,klavus
clemens," clēmēns, entis ",cle-mens,kleːmeːns,klemens
clementia," clēmēntĭa, ae, f. ",cle-mén-ti-a,kleːmeːntɪa,klementsja
Cleomenes," Clĕŏmĕnēs, is, m. ",Cle-ó-me-nes,klɛɔmɛneːs,klɛɔmɛnes
cliens," clĭēns, entis, m. ",cli-ens,klɪeːns,kljens
clientela," clĭēntēla, ae, f. ",cli-en-té-la,klɪeːnteːla,kljentela
clipeus," clĭpĕus, clўpĕus, i, m. ",clí-pe-us,klɪpɛʊs,klipɛus
clivus," clīvus, i, m. ",cli-vus,kliːwʊs,klivus
Clodius," Clōdĭus, a, um ",Cló-di-us,kloːdɪʊs,klodjus
clodus," clōdus, a, um ",clo-dus,kloːdʊs,klodus
Cluentius," Clŭēntĭus, a, um ",Clu-én-ti-us,klweːntɪʊs,kluentsjus
cluvior," cluvĭŏr, Oris ",clú-vi-or,klʊwɪɔr,kluvjɔr
Cluvius," Clŭvĭus, i, m. ",Clú-vi-us,klʊwɪʊs,kluvjus
Cnaeus," Cnāeus, Gnāeus, i, m. ",Cnæ-us,knae̯̯ʊs,knɛus
coarguo," cŏārgŭo, is, ere, gui, gutum ",co-ár-gu-o,kɔaːrgwo,kɔarguo
codicillus," cōdĭcīllus, i, m. ",co-di-cíl-lus,koːdɪkiːllʊs,koditʃillus
coeo," cŏĕo, is, ire, ii, itum ",có-e-o,kɔɛo,kɔɛo
coepio," cōepĭo, is, ere, coepi, coeptum ",cœ́-pi-o,koɛ̯pɪo,tʃepjo
coeptum," cōeptum, i, n. ",cœp-tum,koɛ̯ptʊm,tʃeptum
coeptus," cōeptŭs, us, m. ",cœp-tus,koɛ̯ptʊs,tʃeptus
coerceo," cŏērcĕo, cŏhērcĕo, es, ere, cui, citum ",co-ér-ce-o,koɛrkɛo,kɔɛrtʃɛo
coetus," cōetus, us, m. ",cœ-tus,koɛ̯tʊs,tʃetus
cogitatio," cōgĭtātĭō̆, onis, f. ",co-gi-tá-ti-o,koːgɪtaːtɪoː̆,kodʒitatsjo
cogito," cōgĭto, as, āre, avi, atum",có-gi-to,koːgɪto,kodʒito
cognatio," cōgnātĭō̆, ionis, f. ",co-gná-ti-o,koːŋnaːtɪoː̆,koɲatsjo
cognatus," cōgnātus, a, um ",co-gná-tus,koːŋnaːtʊs,koɲatus
cognatus," cōgnātus, i, f. ",co-gná-tus,koːŋnaːtʊs,koɲatus
cognitio," cōgnĭtĭō̆, ionis, f. ",co-gní-ti-o,koːŋnɪtɪoː̆,koɲitsjo
cognitor," cōgnĭtŏr, ōris, m. ",có-gni-tor,koːŋnɪtɔr,koɲitɔr
cognomen," cōgnōmĕn, inis, n. ",co-gnó-men,koːŋnoːmɛn,koɲomɛn
cognosco," cōgnōsco, is, ere, noui, cognitum ",co-gnós-co,koːŋnoːsko,koɲosko
cogo," cōgo, is, ere, egi, actum ",co-go,koːgo,kogo
cohaereo," cŏhāerĕo, es, ere, haesi, haesum ",co-hǽ-re-o,kɔhae̯rɛo,kɔɛrɛo
cohibeo," cŏhĭbĕo, es, ere, bui, bitum ",co-hí-be-o,kɔhɪbɛo,kɔibɛo
cohors," cŏhōrs, chōrs, ortis, f. ",co-hors,kɔhoːrs,kɔors
cohorto," cŏhōrto, āre, 1 ",co-hór-to,kɔhoːrto,kɔorto
cohortor," cŏhōrtŏr, aris, ari ",co-hór-tor,kɔhoːrtɔr,kɔortɔr
collabor," cōllābŏr, eris, i, lapsus sum ",col-lá-bor,koːllaːbɔr,kollabɔr
collega," cōllēga, ae, m. ",col-lé-ga,koːlleːga,kollega
collegium," cōllēgĭŭm, ii, n ",col-lé-gi-um,koːlleːgɪʊm,kolledʒum
colligo," cōllĭgo, as, are ",cól-li-go,koːllɪgo,kolligo
colligo," cōllĭgo, is, ere, legi, lectum ",cól-li-go,koːllɪgo,kolligo
collis," cōllĭs, is, m. ",col-lis,koːllɪs,kollis
colloco," cōllŏco, as, are ",cól-lo-co,koːllɔko,kollɔko
colloquium," cōllŏquĭŭm, ii, n. ",col-ló-qui-um,koːllɔkʷɪʊm,kollɔkwjum
colloquor," cōllŏquŏr, eris, i, cutus sum ",cól-lo-quor,koːllɔkʷɔr,kollɔkwɔr
collum," cōllŭm, i, n. ",col-lum,koːllʊm,kollum
collus," cōllus, i, m. cf. collum ",col-lus,koːllʊs,kollus
colo," cōlo, āvi, ātum, āre ",co-lo,koːlo,kolo
colo," cŏlo, is, ere, colui, cultum ",co-lo,kɔlo,kɔlo
colon," cōlŏn, i, n. ",co-lon,koːlɔn,kolɔn
colonia," cŏlōnĭa, ae, f. ",co-ló-ni-a,kɔloːnɪa,kɔlonja
colonus," cŏlōnus, a, um ",co-ló-nus,kɔloːnʊs,kɔlonus
color," cŏlŏr, oris, m. ",co-lor,kɔlɔr,kɔlɔr
colum," cōlum, i, n. ",co-lum,koːlʊm,kolum
columba," cŏlūmba, ae, f. ",co-lúm-ba,kɔlʊːmba,kɔlumba
columna," cŏlūmna, ae, f. ",co-lúm-na,kɔlʊːmna,kɔlumna
colus," cŏlus, i, f. ",co-lus,kɔlʊs,kɔlus
colus," cōlus, i, m. ",co-lus,koːlʊs,kolus
coma," cŏma, ae, f. ",co-ma,kɔma,kɔma
come," cŏmē, es, f. ",co-me,kɔmeː,kɔme
comedo," cŏmĕdo, is, ere, edi, esum ",có-me-do,kɔmɛdo,kɔmɛdo
comedo," cŏmĕdo, ōnis, m. ",có-me-do,kɔmɛdo,kɔmɛdo
comedus," cŏmĕdus, i, m. ",có-me-dus,kɔmɛdʊs,kɔmɛdus
comes," cŏmĕs, itis, m. ",co-mes,kɔmɛs,kɔmɛs
comis," cōmĭs, e ",co-mis,koːmɪs,komis
comitas," cōmĭtās, atis, f. ",có-mi-tas,koːmɪtaːs,komitas
comitatus," cŏmĭtātus, a, um ",co-mi-tá-tus,kɔmɪtaːtʊs,kɔmitatus
comitatus," cŏmĭtātus, us, m. ",co-mi-tá-tus,kɔmɪtaːtʊs,kɔmitatus
comiter," cōmĭtĕr, adv. ",có-mi-ter,koːmɪtɛr,komitɛr
comitia," cŏmĭtĭa, orum, n. ",co-mí-ti-a,kɔmɪtɪa,kɔmitsja
comitio," cŏmĭtĭo, āvi, ātum, 1 ",co-mí-ti-o,kɔmɪtɪo,kɔmitsjo
comitium," cŏmĭtĭŭm, i, n. ",co-mí-ti-um,kɔmɪtɪʊm,kɔmitsjum
comito," cŏmĭto, as, are ",có-mi-to,kɔmɪto,kɔmito
comitor," cŏmĭtŏr, aris, ari ",có-mi-tor,kɔmɪtɔr,kɔmitɔr
commeatus," cōmmĕātus, us, m. ",com-me-á-tus,koːmmɛaːtʊs,kommɛatus
commemoro," cōmmĕmŏro, as, are ",com-mé-mo-ro,koːmmɛmɔro,kommɛmɔro
commendatio," cōmmēndātĭo, ōnis, f. ",com-men-dá-ti-o,koːmmeːndaːtɪo,kommendatsjo
commendo," cōmmēndo, as, are ",com-mén-do,koːmmeːndo,kommendo
commentarius," cōmmēntārĭus, i, m. ",com-men-tá-ri-us,koːmmeːntaːrɪʊs,kommentarjus
commeo," cōmmĕo, as, are ",cóm-me-o,koːmmɛo,kommɛo
commercium," cōmmērcĭŭm, i, n. ",com-mér-ci-um,koːmmeːrkɪʊm,kommertʃum
commilito," cōmmīlĭto, āre, intr. ",com-mí-li-to,koːmmiːlɪto,kommilito
commilito," cōmmīlĭtō̆, onis, m. ",com-mí-li-to,koːmmiːlɪtoː̆,kommilito
comminisco," cōmmĭnīsco, ĕre ",com-mi-nís-co,koːmmɪniːsko,komminisko
comminiscor," cōmmĭnīscŏr, eris, i, mentus sum ",com-mi-nís-cor,koːmmɪniːskɔr,komminiskɔr
comminuo," cōmmĭnŭo, is, ere, ui, itum ",com-mí-nu-o,koːmmɪnwo,komminuo
comminus," cōmmĭnŭs, cōmĭnŭs, adv. ",cóm-mi-nus,koːmmɪnʊs,komminus
commisceo," cōmmīscĕo, es, ere, miscui, mixtum ",com-mí-sce-o,koːmmiːskɛo,kommiʃɛo
committo," cōmmītto, is, ere, misi, missum ",com-mít-to,koːmmiːtto,kommitto
commode," cōmmŏdē, adv. ",cóm-mo-de,koːmmɔdeː,kommɔde
commodo," cōmmŏdŏ, adv. ",cóm-mo-do,koːmmɔdɔ,kommɔdɔ
commodo," cōmmŏdo, as, are, avi, atum ",cóm-mo-do,koːmmɔdo,kommɔdo
commodum," cōmmŏdŭm, adv. ",cóm-mo-dum,koːmmɔdʊm,kommɔdum
commodus," cōmmŏdus, a, um ",cóm-mo-dus,koːmmɔdʊs,kommɔdus
commoro," cōmmŏro, āre, intr. ",cóm-mo-ro,koːmmɔro,kommɔro
commoror," cōmmŏrŏr, aris, ari ",cóm-mo-ror,koːmmɔrɔr,kommɔrɔr
commoveo," cōmmŏvĕo, es, ere, moui, motum ",com-mó-ve-o,koːmmɔwɛo,kommɔvɛo
commune," cōmmūne, is, n. ",com-mú-ne,koːmmʊːnɛ,kommunɛ
communico," cōmmūnĭco, as, are ",com-mú-ni-co,koːmmʊːnɪko,kommuniko
communio," cōmmūnĭo, is, ire, iui, itum ",com-mú-ni-o,koːmmʊːnɪo,kommunjo
communio," cōmmūnĭo, ōnis, f. ",com-mú-ni-o,koːmmʊːnɪo,kommunjo
communis," cōmmūnĭs, e ",com-mú-nis,koːmmʊːnɪs,kommunis
communiter," cōmmūnĭtĕr, adv. ",com-mú-ni-ter,koːmmʊːnɪtɛr,kommunitɛr
commutatio," cōmmūtātĭō̆, ionis, f. ",com-mu-tá-ti-o,koːmmʊːtaːtɪoː̆,kommutatsjo
commuto," cōmmūto, as, are ",com-mú-to,koːmmʊːto,kommuto
como," cŏmo, as, are ",co-mo,kɔmo,kɔmo
como," cōmo, is, ere, compsi, comptum ",co-mo,koːmo,komo
comoedia," cōmōedĭa, ae, f. ",co-mœ́-di-a,koːmoɛ̯dɪa,komedja
comparatio," cōmpărātĭō̆, ionis, f. ",com-pa-rá-ti-o,koːmparaːtɪoː̆,komparatsjo
comparo," cōmpăro, as, are ",cóm-pa-ro,koːmparo,komparo
compello," cōmpēllo, as, are, avi, atum",com-pél-lo,koːmpeːllo,kompello
compello," cōmpēllo, is, ere, puli, pulsum ",com-pél-lo,koːmpeːllo,kompello
compendium," cōmpēndĭŭm, i, n. ",com-pén-di-um,koːmpeːndɪʊm,kompendjum
comperio," cōmpĕrĭo, is, ire, peri, pertum ",com-pé-ri-o,koːmpɛrɪo,kompɛrjo
compesco," cōmpēsco, is, ere, pescui ",com-pés-co,koːmpeːsko,kompesko
competitor," cōmpĕtītŏr, oris, m. ",com-pe-tí-tor ,koːmpɛtiːtɔr,kompɛtitɔr
competo," cōmpĕto, is, ere, petivi , petitum ",cóm-pe-to,koːmpɛto,kompɛto
complecto," cōmplēcto, ĕre ",com-pléc-to,koːmpleːkto,komplekto
complector," cōmplēctŏr, eris, i, complexus sum ",com-pléc-tor,koːmpleːktɔr,komplektɔr
compleo," cōmplĕo, es, ere, pleui, pletum ",cóm-ple-o,koːmplɛo,komplɛo
complexus," cōmplēxus, a, um ",com-plé-xus,koːmpleːksʊs,kompleksus
complures," cōmplūrēs, ium ",com-plú-res,koːmplʊːreːs,komplures
compono," cōmpōno, is, ere, posui, positum ",com-pó-no,koːmpoːno,kompono
comporto," cōmpōrto, as, are ",com-pór-to,koːmpoːrto,komporto
compos," cōmpŏs, otis ",com-pos,koːmpɔs,kompɔs
compositus," cōmpŏsĭtus, a, um ",com-pó-si-tus,koːmpɔsɪtʊs,kompɔsitus
comprehendo," cōmprĕhēndo, cōmprēndo, is, ere, prehendi, prehensum ",com-pre-hén-do,koːmprɛheːndo,komprɛendo
comprimo," cōmprĭmo, is, ere, pressi, pressum ",cóm-pri-mo,koːmprɪmo,komprimo
comprobo," cōmprŏbo, as, are ",cóm-pro-bo,koːmprɔbo,komprɔbo
computo," cōmpŭto, as, are ",cóm-pu-to,koːmpʊto,komputo
computus," cōmpŭtus, i, m. ",cóm-pu-tus,koːmpʊtʊs,komputus
conatus," cōnātus, us, m. ",co-ná-tus,koːnaːtʊs,konatus
concedo," cōncēdo, is, ere, cessi, cessum ",con-cé-do,koːnkeːdo,kontʃedo
concha," cōncha, ae, f. ",con-cha,koːnkʰa,konka
concido," cōncīdo, is, ere, cidi, cisum ",con-cí-do,koːnkiːdo,kontʃido
concido," cōncĭdo, is, ere, cidi, intr. ",cón-ci-do,koːnkɪdo,kontʃido
concieo," cōncĭĕo, es, ere, cīvi, cĭtum ",con-cí-e-o,koːnkɪɛo,kontʃiɛo
concilio," cōncĭlĭo, as, are ",con-cí-li-o,koːnkɪlɪo,kontʃiljo
concilium," cōncĭlĭŭm, ii, n. ",con-cí-li-um,koːnkɪlɪʊm,kontʃiljum
concio," cōncĭo, is, ire, conciui, concitum ",cón-ci-o,koːnkɪo,kontʃo
concipio," cōncĭpĭo, is, ere, cepi, ceptum ",con-cí-pi-o,koːnkɪpɪo,kontʃipjo
concito," cōncĭto, as, are ",cón-ci-to,koːnkɪto,kontʃito
concitus," cōncītus, a, um ",con-cí-tus,koːnkiːtʊs,kontʃitus
concitus," cōncĭtus, a, um ",cón-ci-tus ,koːnkɪtʊs,kontʃitus
conclamo," cōnclāmo, as, are ",con-clá-mo,koːnklaːmo,konklamo
concludo," cōnclūdo, is, ere, clusi, clusum ",con-clú-do,koːnklʊːdo,konkludo
concordia," cōncōrdĭa, ae, f. ",con-cór-di-a,koːnkoːrdɪa,konkordja
concordis," cōncōrdĭs, e ",con-cór-dis,koːnkoːrdɪs,konkordis
concordius," cōncōrdĭus, a, um ",con-cór-di-us,koːnkoːrdɪʊs,konkordjus
concors," cōncōrs, cordis ",con-cors,koːnkoːrs,konkors
concresco," cōncrēsco, is, ere, creui, cretum ",con-crés-co,koːnkreːsko,konkresko
concubitus," cōncŭbĭtus, us, m. ",con-cú-bi-tus,koːnkʊbɪtʊs,konkubitus
concumbo," cōncūmbo, is, ere, cubui, cubitum ",con-cúm-bo,koːnkʊːmbo,konkumbo
concupisco," cōncŭpīsco, is, ere, cupiui, pitum ",con-cu-pís-co,koːnkʊpiːsko,konkupisko
concurro," cōncūrro, is, ere, curri, cursum ",con-cúr-ro,koːnkʊːrro,konkurro
concursus," cōncūrsus, us, m. ",con-cúr-sus,koːnkʊːrsʊs,konkursus
concutio," cōncŭtĭo, is, ere, cussi, cussum ",con-cú-ti-o,koːnkʊtɪo,konkutsjo
condemno," cōndēmno, as, are ",con-dém-no,koːndeːmno,kondemno
condicio," cōndĭcĭō̆, onis, f. ",con-dí-ci-o,koːndɪkɪoː̆,konditʃɔ
condio," cōndĭo, is, ire, iui, itum ",cón-di-o,koːndɪo,kondjo
conditor," cōndĭtŏr, oris, m. ",cón-di-tor,koːndɪtɔr,konditɔr
conditor," cōndītŏr, ōris, m. ",con-dí-tor,koːndiːtɔr,konditɔr
condo," cōndo, is, ere, didi, ditum ",con-do,koːndo,kondo
condono," cōndōno, as, are ",con-dó-no,koːndoːno,kondono
conduco," cōndūco, is, ere, duxi, ductum ",con-dú-co,koːndʊːko,konduko
condus," cōndus, i, m. ",con-dus,koːndʊs,kondus
confercio," cōnfērcĭo, is, ire, fersi, fertum ",con-fér-ci-o,koːnfeːrkɪo,konfertʃo
confero," cōnfĕro, fers, ferre, tuli, latum ",cón-fe-ro,koːnfɛro,konfɛro
confertus," cōnfērtus, a, um ",con-fér-tus,koːnfeːrtʊs,konfertus
confessio," cōnfēssĭō̆, ionis, f. ",con-fés-si-o,koːnfeːssɪoː̆,konfessjɔ
confestim," cōnfēstĭm, adv. ",con-fés-tim,koːnfeːstɪm,konfestim
conficio," cōnfĭcĭo, is, ere, feci, fectum ",con-fí-ci-o,koːnfɪkɪo,konfitʃo
confido," cōnfīdo, is, ere, confisus sum ",con-fí-do,koːnfiːdo,konfido
configo," cōnfīgo, is, ere, i ",con-fí-go,koːnfiːgo,konfigo
confirmo," cōnfīrmo, as, are ",con-fír-mo,koːnfiːrmo,konfirmo
confiteor," cōnfĭtĕŏr, eris, eri, fessus sum ",con-fí-te-or,koːnfɪtɛɔr,konfitɛɔr
confligo," cōnflīgo, is, ere, flixi, flictum ",con-flí-go,koːnfliːgo,konfligo
conflo," cōnflo, as, are ",con-flo,koːnflo,konflo
confluo," cōnflŭo, is, ere, fluxi, fluctum ",cón-flu-o,koːnflwo,konfluo
confluus," cōnflŭus, a, um ",cón-flu-us,koːnflwʊs,konfluus
confodio," cōnfŏdĭo, is, ere, fodi, fossum ",con-fó-di-o,koːnfɔdɪo,konfɔdjo
confugio," cōnfŭgĭo, is, ere ",con-fú-gi-o,koːnfʊgɪo,konfudʒo
confugium," cōnfŭgĭum, ii, n. ",con-fú-gi-um,koːnfʊgɪʊm,konfudʒum
confundo," cōnfūndo, is, ere, fudi, fusum ",con-fún-do,koːnfʊːndo,konfundo
confusus," cōnfūsus, a, um ",con-fú-sus,koːnfʊːsʊs,konfusus
congero," cōngĕro, is, ere, gessi, gestum ",cón-ge-ro,koːngɛro,kondʒɛro
congero," cōngĕro, ōnis, m. ",cón-ge-ro,koːngɛro,kondʒɛro
congiarium," cōngĭārĭum, ii, n. ",con-gi-á-ri-um,koːngɪaːrɪʊm,kondʒarjum
congiarius," cōngĭārĭus, a, um ",con-gi-á-ri-us,koːngɪaːrɪʊs,kondʒarjus
congredio," cōngrĕdĭo, īre ",con-gré-di-o,koːngrɛdɪo,kongrɛdjo
congredior," cōngrĕdĭŏr, eris, i, essus sum ",con-gré-di-or,koːngrɛdɪɔr,kongrɛdjɔr
congrego," cōngrĕgo, as, are ",cón-gre-go,koːngrɛgo,kongrɛgo
congregus," cōngrĕgus, a, um ",cón-gre-gus,koːngrɛgʊs,kongrɛgus
congressus," cōngrēssus, a, um ",con-grés-sus,koːngreːssʊs,kongressus
congruo," cōngrŭo, is, ere, ui ",cón-gru-o,koːngrwo,kongruo
congruus," cōngrŭus, a, um ",cón-gru-us,koːngrwʊs,kongruus
conicio," cōnĭcĭō, is, ere, iēci, iectum ",co-ní-ci-o,koːnɪkɪoː,konitʃo
coniectura," cōniēctūra, ae, f. ",con-jec-tú-ra,koːnjeːktʊːra,konjektura
coniecturo," cōniēctūro, āre ",con-jec-tú-ro,koːnjeːktʊːro,konjekturo
coniicio," cōniĭcĭo, is, ere, ieci, iectum ",con-jí-ci-o,koːnjɪkɪo,konjitʃo
coniugium," cōniŭgĭŭm, i, n. ",con-jú-gi-um,koːnjʊgɪʊm,konjudʒum
coniugius," cōniŭgĭus, ii, m. ",con-jú-gi-us,koːnjʊgɪʊs,konjudʒus
coniunctio," cōniūnctĭō̆, ionis, f. ",con-júnc-ti-o,koːnjʊːnktɪoː̆,konjunktsjo
coniunctus," cōniūnctus, a, um ",con-júnc-tus,koːnjʊːnktʊs,konjunktus
coniungo," cōniūngo, is, ere, iunxi, iunctum ",con-jún-go,koːnjʊːngo,konjungo
coniurati," cōniūrāti, orum, m. ",con-ju-rá-ti,koːnjʊːraːtɪ,konjurati
coniuratio," cōniūrātĭō̆, onis, f. ",con-ju-rá-ti-o,koːnjʊːraːtɪoː̆,konjuratsjo
coniuratus," cōniūrātus, i, m. ",con-ju-rá-tus,koːnjʊːraːtʊs,konjuratus
coniuro," cōniūrō, as, are ",con-jú-ro,koːnjʊːroː,konjuro
coniux," cōniūx, iugis, m. or f. ",con-jux,koːnjʊːks,konjuks
conlaudo," cōnlāudo, as, are ",co-nláu-do,koːnlaʊ̯do,konlau̯do
connecto," cōnnēcto, is, ere, nexui, nexum ",con-néc-to,koːnneːkto,konnekto
connitor," cōnnītŏr, eris, cōnīti, cōnīsus  sum, intr. ",con-ní-tor,koːnniːtɔr,konnitɔr
connubium," cōnnūbĭŭm, i, n. ",con-nú-bi-um,koːnnʊːbɪʊm,konnubjum
conor," cōnŏr, aris, ari ",co-nor,koːnɔr,konɔr
conqueror," cōnquĕrŏr, eris, eri, questus sum ",cón-que-ror,koːnkʷɛrɔr,konkwɛrɔr
conquiro," cōnquīro, is, ere, quisiui, quisitum ",con-quí-ro,koːnkʷiːro,konkwiro
consaluto," cōnsălūto, as, are ",con-sa-lú-to,koːnsalʊːto,konsaluto
conscendo," cōnscēndo, is, ere, scendi, scensum ",con-scén-do,koːnskeːndo,konʃendo
conscientia," cōnscĭēntĭa, ae, f. ",con-sci-én-ti-a,koːnskɪeːntɪa,konʃjentsja
conscio," cōnscĭo, is, īre, ivi, itum ",cón-sci-o,koːnskɪo,konʃjo
conscius," cōnscĭus, a, um ",cón-sci-us,koːnskɪʊs,konʃjus
conscribo," cōnscrībo, is, ere, scripsi, scriptum ",con-scrí-bo,koːnskriːbo,konskribo
consecro," cōnsē̆cro, as, are ",cón-se-cro,koːnseː̆kro,konsĕkro
consecto," cōnsēcto, āre ",con-séc-to,koːnseːkto,konsekto
consector," cōnsēctŏr, aris, ari ",con-séc-tor,koːnseːktɔr,konsektɔr
consenesco," cōnsĕnēsco, is, ere, nui, - ",con-se-nés-co,koːnsɛneːsko,konsɛnesko
consensus," cōnsēnsus, a, um ",con-sén-sus,koːnseːnsʊs,konsensus
consentio," cōnsēntĭo, is, ire, sensi, sensum ",con-sén-ti-o,koːnseːntɪo,konsentsjo
consentium," cōnsēntĭum, ii, n. ",con-sén-ti-um,koːnseːntɪʊm,konsentsjum
consequor," cōnsĕquŏr, eris, i, cutus sum ",cón-se-quor,koːnsɛkʷɔr,konsɛkwɔr
consero," cōnsĕro, is, ere, erui, ertum ",cón-se-ro,koːnsɛro,konsɛro
consero," cōnsĕro, is, ere, seui, situm ",cón-se-ro,koːnsɛro,konsɛro
conservo," cōnsērvo, as, are ",con-sér-vo,koːnseːrwo,konservo
conservus," cōnsērvus, a, um ",con-sér-vus,koːnseːrwʊs,konservus
consessus," cōnsēssŭs, us, m. ",con-sés-sus,koːnseːssʊs,konsessus
considero," cōnsīdĕro, as, are ",con-sí-de-ro,koːnsiːdɛro,konsidɛro
Considius," Cōnsĭdĭus, i, m. ",Con-sí-di-us,koːnsɪdɪʊs,konsidjus
consido," cōnsīdo, is, ere, sedi, sessum ",con-sí-do,koːnsiːdo,konsido
consilium," cōnsĭlĭŭm, ii, n. ",con-sí-li-um,koːnsɪlɪʊm,konsiljum
consimilis," cōnsĭmĭlĭs, e ",con-sí-mi-lis,koːnsɪmɪlɪs,konsimilis
consisto," cōnsīsto, is, ere, stiti ",con-sís-to,koːnsiːsto,konsisto
consolo," cōnsōlo, āvi, ātum, 1 ",con-só-lo,koːnsoːlo,konsolo
consolor," cōnsōlŏr, aris, ari ",con-só-lor,koːnsoːlɔr,konsolɔr
consors," cōnsōrs, ortis ",con-sors,koːnsoːrs,konsors
conspectus," cōnspēctus, a, um ",con-spéc-tus,koːnspeːktʊs,konspektus
conspectus," cōnspēctus, us, m. ",con-spéc-tus,koːnspeːktʊs,konspektus
conspicio," cōnspĭcĭo, is, ere, spexi, spectum ",con-spí-ci-o,koːnspɪkɪo,konspitʃo
conspicio," cōnspĭcĭo, ōnis, f. ",con-spí-ci-o,koːnspɪkɪo,konspitʃo
